기관명,기관구분,주소,홈페이지
(복지)예사랑병원,병원,부산광역시 서구 옥천로130번길 38 (아미동2가),
(의)고담의료재단마더스병원,병원,울산광역시 남구 화합로 107 (달동),http://motherth.co.kr/
(의)나사렛의료재단 나사렛국제병원,종합병원,인천광역시 연수구 먼우금로 98- (동춘동),https://www.nasaret.co.kr/
(의)아나의료재단강릉아나병원,병원,강원도 강릉시 용지로 129 129,www.anahospital.kr
(재)예수의꽃동네유지재단 인곡자애병원,병원,충청북도 음성군 맹동면 꽃동네길 37-0 (),
(재)천주의성요한병원,중독관리통합지원센터,"광주광역시 북구 태봉로 32, 유동 115-1",http://www.yohanhos.or.kr/
(학)일송학원 한림대학교성심병원,기초정신건강복지센터,관평로170번길 22,https://hallym.hallym.or.kr/
21C한일병원,병원,경상남도 거제시 사등면 지석리 580-4,http://www.21c-hanil.co.kr/
BH병원,병원,부산광역시 남구 수영로 165,http://www.bh-hospital.co.kr/
Dr. 고 신경정신과의원,의원,서울특별시 광진구 능동로 324 3층 (중곡동),
Dr.신형직의비타민정신과의원,의원,"강원도 강릉시 경강로 2109 6층 (임당동, 문선빌딩)",
e-맑은정신과의원,의원,부산광역시 영도구 태종로 97 (대교동2가),
M병원,병원,대구광역시 북구 팔달로 147 (노원동3가),
The(더)공감 정신건강의학과의원,의원,940 3층(조원동 일호골든타워) ,http://www.suwonpsy.com/
W정신건강의학과의원,의원,경기도 성남시 분당구 판교역로 178 서건타워 402호,http://www.wmindclinic.com/
Y정신건강의학과의원,의원,"경기도 화성시 동탄반석로 134 302호 (반송동, 에이치원메디컬센터)",
가득한집,정신재활시설,"서울특별시 금천구 시흥대로 133-7, 301호(시흥동)",www.homelessness.or.kr
가람슬기,정신재활시설,"서울특별시 광진구 천호대로 116길 109, 301",www.가람슬기.kr
가람신경정신과의원,의원,서울특별시 관악구 시흥대로 554 (신림동),http://www.garam-clinic.com/main/main.php
가로수정신건강의학과의원,의원,인천광역시 남동구 논고개로 114 에이스타워 203호 (논현동),https://garosupsychiatry.com/
가야신경정신과의원,의원,"부산광역시 사상구 가야대로 288 202호 (주례동, 창조상가)",
가오푸른정신건강의학과의원,의원,"대전광역시 동구 동구청로 95 2층 201호 (가오동, 예시티)",https://lkipsy.modoo.at/
가온길,정신재활시설,"서울특별시 노원구 공릉로 58나길 17, 2층(하계동)",
가온누리,정신재활시설,충청남도 아산시 번영로 169번길 6-5,www.gaon-nuri.or.kr
가인정신건강의학과의원,의원,"경기도 광주시 중앙로 95-3 (역동, 서울클리닉센터 B동 702호)",http://www.gainmind.co.kr/
가족사랑서울정신건강의학과의원,의원,서울특별시 영등포구 당산로 222 (당산동5가),http://www.ifamilylove.co.kr/
가족사랑서울정신건강의학과의원,의원,서울특별시 동작구 보라매로 113 (대방동),http://www.ifamilylove.co.kr/
가족사랑정신과의원,의원,대구광역시 중구 달구벌대로 2111 (덕산동),
가족사랑정신과의원,의원,서울특별시 강서구 양천로 461 5층 (가양동),
가톨릭관동대학교 국제성모병원,종합병원,인천광역시 서구 심곡로100번길 25-0 인천국제성모병원,https://www.ish.or.kr/
가톨릭대학교 성빈센트병원,종합병원,경기도 수원시 팔달구 중부대로 93 (지동),https://www.cmcvincent.or.k
가톨릭대학교 여의도성모병원,종합병원,서울특별시 영등포구 63로 10 여의도성모병원 (여의도동),https://www.cmcsungmo.or.kr/
가톨릭대학교 은평성모병원,종합병원,서울특별시 은평구 통일로 1021 (진관동),https://www.cmcep.or.kr/
가톨릭대학교부천성모병원,종합병원,경기도 부천시 소사로 327 (소사동),https://www.cmcbucheon.or.kr/
가톨릭대학교의정부성모병원,종합병원,경기도 의정부시 천보로 271 의정부성모병원 (금오동),https://www.cmcujb.or.kr/
가톨릭대학교인천성모병원,상급종합병원,인천광역시 부평구 동수로 56 (부평동),https://www.cmcism.or.kr/
가톨릭정신건강의학과의원,의원,제주특별자치도 제주시 도령로 1 (노형동),
가평군보건소,보건소,경기도 가평군 가평읍 가화로 155-18 ,https://www.gp.go.kr/
가평군자살예방센터,자살예방센터,경기도 가평군 가평읍 가화로 155-15,www.gpmhc.com
가평꽃동네 정신요양원,정신요양시설,경기도 가평군 조종면 꽃동네길 60,caf?'daum.net/fvjhouse
강남 연정신건강의학과의원,의원,서울특별시 강남구 학동로 338 강남파라곤 1층 101호,http://www.yeonclinic.co.kr/
강남구 보건소,보건소,서울특별시 강남구 선릉로 668 ,https://health.gangnam.go.kr
강남구 정신건강복지센터,기초정신건강복지센터,"서울특별시 강남구 자곡로 100, 자곡문화센터 2층",https://health.gangnam.go.kr/
강남구립 행복요양병원,공립,서울특별시 강남구 헌릉로 590길 60,http://www.gangnamguhospital.kr/
강남병원,종합병원,경기도 용인시 기흥구 중부대로 411 강남병원 (신갈동),http://www.knmc.or.kr/
강남정신건강의학과의원,의원,"서울특별시 강남구 테헤란로 119 (역삼동, 5층 일부)",
강남정신건강의학괴의원,의원,대구 북구 신암로 111 강남메디칼타워 3층 303호,https://blog.naver.com/hiroro35
강남정신과의원,의원,서울특별시 강동구 천호대로 997,
강남푸른정신건강의학과의원,의원,서울특별시 서초구 서초동 1329-6 5층 501호,https://gangnampureun.modoo.at/
강남하늘정신건강의학과의원,의원,서울특별시 강남구 봉은사로 105 5층,https://gangnamskyclinic.modoo.at/
강동경희대학교병원,종합병원,서울특별시 강동구 동남로 892 (상일동),http://www.khnmc.or.kr/
강동구 보건소,보건소,서울특별시 강동구 성내로 45,https://health.gangdong.go.kr/
강동우정신건강의학과의원,의원,경기도 성남시 분당구 성남대로 345 정자역 프라자빌딩 506호 (정자동),https://khangpsy.modoo.at/
강릉보건소,보건소,강원도 강릉시 남부로17번길 38(내곡동),https://www.gn.go.kr/
강릉시정신건강복지센터,기초정신건강복지센터,"강릉시 남구길 23번길24 3층,4층",www.gnmind.com
강릉아산병원,종합병원,강원도 강릉시 사천면 방동길 38 ,https://www.gnah.co.kr/
강릉율곡병원,병원,강원도 강릉시 동해대로 3304번길 11(난곡동),http://www.yghospital.co.kr/
강릉중독관리통합지원센터,중독관리통합지원센터,강원도 강릉시 용지로144 리치빌딩 4층,http://gnamc.or.kr/
강병구정신건강의학과의원,의원,부산광역시 동래구 충렬대로 132 (온천동),
강봉선신경정신과의원,의원,"강원도 원주시 서원대로 383 3층 401호 (개운동, 한신프라자)",
강북구 정신건강복지센터,기초정신건강복지센터,서울특별시 강북구 삼양로19길 154 삼각산분소 3층,ehealth.gangbuk.go.kr/site/kr/maeum
강북구보건소,보건소,서울특별시 강북구 한천로 897 ,https://ehealth.gangbuk.go.kr/
