기관명,기관구분,주소,홈페이지,latitude,longitude,전화번호
(복지)예사랑병원,병원,부산광역시 서구 옥천로130번길 38 (아미동2가),,35.0972579,129.0134808,051-231-7478
(의)고담의료재단마더스병원,병원,울산광역시 남구 화합로 107 (달동),http://motherth.co.kr/,35.5343293,129.3404824,052-270-7000
(의)나사렛의료재단 나사렛국제병원,종합병원,인천광역시 연수구 먼우금로 98- (동춘동),https://www.nasaret.co.kr/,37.4081406,126.6705174,032-899-9999
(의)아나의료재단강릉아나병원,병원,강원도 강릉시 용지로 129 129,www.anahospital.kr,37.7604775,128.9030311,전화번호 없음
(재)예수의꽃동네유지재단 인곡자애병원,병원,충청북도 음성군 맹동면 꽃동네길 37-0 (),,36.941431,127.577313,043-879-0301
(재)천주의성요한병원,중독관리통합지원센터,"광주광역시 북구 태봉로 32, 유동 115-1",http://www.yohanhos.or.kr/,35.1606584,126.9033821,전화번호 없음
(학)일송학원 한림대학교성심병원,기초정신건강복지센터,관평로170번길 22,https://hallym.hallym.or.kr/,37.3915131,126.9618234,031-380-4160
21C한일병원,병원,경상남도 거제시 사등면 지석리 580-4,http://www.21c-hanil.co.kr/,34.9017348,128.5204515,055-634-1014
BH병원,병원,부산광역시 남구 수영로 165,http://www.bh-hospital.co.kr/,35.1351101,129.084593,041-532-9988
Dr. 고 신경정신과의원,의원,서울특별시 광진구 능동로 324 3층 (중곡동),,37.5583901,127.080381,02-467-6247
Dr.신형직의비타민정신과의원,의원,"강원도 강릉시 경강로 2109 6층 (임당동, 문선빌딩)",,37.7558491,128.8970342,전화번호 없음
e-맑은정신과의원,의원,부산광역시 영도구 태종로 97 (대교동2가),,35.0919289,129.041525,051-415-5307
M병원,병원,대구광역시 북구 팔달로 147 (노원동3가),,35.8890559,128.5664279,031-8029-9793
The(더)공감 정신건강의학과의원,의원,940 3층(조원동 일호골든타워) ,http://www.suwonpsy.com/,37.3031079,127.0080459,031-8019-8300
W정신건강의학과의원,의원,경기도 성남시 분당구 판교역로 178 서건타워 402호,http://www.wmindclinic.com/,37.39653020000001,127.110017,031-8016-6663
Y정신건강의학과의원,의원,"경기도 화성시 동탄반석로 134 302호 (반송동, 에이치원메디컬센터)",,37.20107429999999,127.0712988,031-8015-0415
가득한집,정신재활시설,"서울특별시 금천구 시흥대로 133-7, 301호(시흥동)",www.homelessness.or.kr,37.4459945,126.9027803,054-457-4896
가람슬기,정신재활시설,"서울특별시 광진구 천호대로 116길 109, 301",www.가람슬기.kr,37.5528523,127.0804185,02-537-9754
가람신경정신과의원,의원,서울특별시 관악구 시흥대로 554 (신림동),http://www.garam-clinic.com/main/main.php,37.4824182,126.9015635,02-859-8500
가로수정신건강의학과의원,의원,인천광역시 남동구 논고개로 114 에이스타워 203호 (논현동),https://garosupsychiatry.com/,37.4014539,126.7246787,032-437-5700
가야신경정신과의원,의원,"부산광역시 사상구 가야대로 288 202호 (주례동, 창조상가)",,35.1499963,129.0041092,051-322-1300
가오푸른정신건강의학과의원,의원,"대전광역시 동구 동구청로 95 2층 201호 (가오동, 예시티)",https://lkipsy.modoo.at/,36.306496,127.4567268,042-285-2700
가온길,정신재활시설,"서울특별시 노원구 공릉로 58나길 17, 2층(하계동)",,37.6364241,127.0735451,031-707-4682
가온누리,정신재활시설,충청남도 아산시 번영로 169번길 6-5,www.gaon-nuri.or.kr,36.7858792,127.0101326,031-232-1080
가인정신건강의학과의원,의원,"경기도 광주시 중앙로 95-3 (역동, 서울클리닉센터 B동 702호)",http://www.gainmind.co.kr/,37.4080037,127.2585578,031-763-3267
가족사랑서울정신건강의학과의원,의원,서울특별시 영등포구 당산로 222 (당산동5가),http://www.ifamilylove.co.kr/,37.53208679999999,126.9012,02-812-9494
가족사랑서울정신건강의학과의원,의원,서울특별시 동작구 보라매로 113 (대방동),http://www.ifamilylove.co.kr/,37.4994648,126.9279007,02-812-9494
가족사랑정신과의원,의원,대구광역시 중구 달구벌대로 2111 (덕산동),,35.8655745,128.594751,02-812-0606
가족사랑정신과의원,의원,서울특별시 강서구 양천로 461 5층 (가양동),,37.5630377,126.8522455,02-812-0606
가톨릭관동대학교 국제성모병원,종합병원,인천광역시 서구 심곡로100번길 25-0 인천국제성모병원,https://www.ish.or.kr/,37.5423472,126.6836259,032-569-6482
가톨릭대학교 성빈센트병원,종합병원,경기도 수원시 팔달구 중부대로 93 (지동),https://www.cmcvincent.or.k,37.2779747,127.0275627,031-225-9392
가톨릭대학교 여의도성모병원,종합병원,서울특별시 영등포구 63로 10 여의도성모병원 (여의도동),https://www.cmcsungmo.or.kr/,37.5182841,126.9367077,02-3779-1526
가톨릭대학교 은평성모병원,종합병원,서울특별시 은평구 통일로 1021 (진관동),https://www.cmcep.or.kr/,37.6335822,126.9161092,02-1811-7755
가톨릭대학교부천성모병원,종합병원,경기도 부천시 소사로 327 (소사동),https://www.cmcbucheon.or.kr/,37.4877681,126.7942112,032-340-7300
가톨릭대학교의정부성모병원,종합병원,경기도 의정부시 천보로 271 의정부성모병원 (금오동),https://www.cmcujb.or.kr/,37.7585957,127.0777141,1661-7500
가톨릭대학교인천성모병원,상급종합병원,인천광역시 부평구 동수로 56 (부평동),https://www.cmcism.or.kr/,37.4845757,126.7249647,032-280-5302
가톨릭정신건강의학과의원,의원,제주특별자치도 제주시 도령로 1 (노형동),,33.486813,126.4793232,746-7355
가평군보건소,보건소,경기도 가평군 가평읍 가화로 155-18 ,https://www.gp.go.kr/,37.8334448,127.5106309,031-584-7051
가평군자살예방센터,자살예방센터,경기도 가평군 가평읍 가화로 155-15,www.gpmhc.com,37.8330051,127.5108011,전화번호 없음
가평꽃동네 정신요양원,정신요양시설,경기도 가평군 조종면 꽃동네길 60,caf?'daum.net/fvjhouse,37.8849163,127.3504406,031-589-0210
강남 연정신건강의학과의원,의원,서울특별시 강남구 학동로 338 강남파라곤 1층 101호,http://www.yeonclinic.co.kr/,37.5165513,127.0401391,02-516-9114
강남구 보건소,보건소,서울특별시 강남구 선릉로 668 ,https://health.gangnam.go.kr,37.5163319,127.0421351,02-3423-8910
강남구 정신건강복지센터,기초정신건강복지센터,"서울특별시 강남구 자곡로 100, 자곡문화센터 2층",https://health.gangnam.go.kr/,37.4715804,127.0945322,02-2226-0344
강남구립 행복요양병원,공립,서울특별시 강남구 헌릉로 590길 60,http://www.gangnamguhospital.kr/,37.4611433,127.1033604,02-6053-2114
강남병원,종합병원,경기도 용인시 기흥구 중부대로 411 강남병원 (신갈동),http://www.knmc.or.kr/,37.2735355,127.1113393,031-354-7844
강남정신건강의학과의원,의원,"서울특별시 강남구 테헤란로 119 (역삼동, 5층 일부)",,37.4993136,127.0306456,02-577-7811
강남정신건강의학괴의원,의원,대구 북구 신암로 111 강남메디칼타워 3층 303호,https://blog.naver.com/hiroro35,35.8805627,128.6115547,전화번호 없음
강남정신과의원,의원,서울특별시 강동구 천호대로 997,,37.539355,127.1232731,02-574-5748
강남푸른정신건강의학과의원,의원,서울특별시 서초구 서초동 1329-6 5층 501호,https://gangnampureun.modoo.at/,37.4937181,127.0291069,02-523-7008
강남하늘정신건강의학과의원,의원,서울특별시 강남구 봉은사로 105 5층,https://gangnamskyclinic.modoo.at/,37.5049962,127.025024,02-515-1330
강동경희대학교병원,종합병원,서울특별시 강동구 동남로 892 (상일동),http://www.khnmc.or.kr/,37.5511028,127.1696401,02-440-7114
강동구 보건소,보건소,서울특별시 강동구 성내로 45,https://health.gangdong.go.kr/,37.5292319,127.1255617,02-3425-8500
강동우정신건강의학과의원,의원,경기도 성남시 분당구 성남대로 345 정자역 프라자빌딩 506호 (정자동),https://khangpsy.modoo.at/,37.3586021,127.1275043,712-0506
강릉보건소,보건소,강원도 강릉시 남부로17번길 38(내곡동),https://www.gn.go.kr/,37.7428046,128.8828195,033-647-7358
강릉시정신건강복지센터,기초정신건강복지센터,"강릉시 남구길 23번길24 3층,4층",www.gnmind.com,37.7636349,128.903226,033-651-9668
강릉아산병원,종합병원,강원도 강릉시 사천면 방동길 38 ,https://www.gnah.co.kr/,37.818178,128.8585232,033-644-2131
강릉율곡병원,병원,강원도 강릉시 동해대로 3304번길 11(난곡동),http://www.yghospital.co.kr/,37.7866239,128.8740288,033-641-1137
강릉중독관리통합지원센터,중독관리통합지원센터,강원도 강릉시 용지로144 리치빌딩 4층,http://gnamc.or.kr/,37.7617539,128.9025167,전화번호 없음
강병구정신건강의학과의원,의원,부산광역시 동래구 충렬대로 132 (온천동),,35.2055229,129.0746321,504-3171
강봉선신경정신과의원,의원,"강원도 원주시 서원대로 383 3층 401호 (개운동, 한신프라자)",,37.3405083,127.9582764,033-761-3884
강북구 정신건강복지센터,기초정신건강복지센터,서울특별시 강북구 삼양로19길 154 삼각산분소 3층,ehealth.gangbuk.go.kr/site/kr/maeum,37.61700800000001,127.0156229,02-985-0222
강북구보건소,보건소,서울특별시 강북구 한천로 897 ,https://ehealth.gangbuk.go.kr/,37.6322105,127.0388226,02-901-4813
강북삼성병원,상급종합병원,서울특별시 종로구 새문안로 29 (평동),https://www.kbsmc.co.kr/,37.569203,126.9674914,02-2001-1081
강서구보건소,보건소,서울특별시 강서구 공항대로 561 강서보건소,,37.5496053,126.868277,02-2600-5353
강서그룹홈,정신재활시설,서울특별시 강서구 초록마을로16길 20,www.wmind.org,37.5411873,126.8495415,02-2699-7329
강서양지,정신재활시설,"서울특별시 강서구 등촌로35 가길 26, 301호",https://blog.naver.com/gsyj1,37.5374385,126.8622715,02-6404-4477
강서필병원,병원,서울특별시 강서구 강서로17길 24,http://www.feelhp.com/,37.5330015,126.8443356,02-2065-9412
강신경정신과의원,의원,서울특별시 관악구 신림로 340 르네상스 복합쇼핑몰 13층 1304호,http://kskclinic.kr/,37.4847684,126.930087,02-871-7121
강신삼신경정신과의원,의원,서울 동대문구 홍릉로 5,,37.5808216,127.0447343,02-969-9491
강원대학교병원,국립,강원도 춘천시 백령로 156,,37.8749245,127.7445472,033-732-2111
강원대학교병원,종합병원,강원도 춘천시 백령로 156 (효자동),,37.8749245,127.7445472,033-732-2111
강원대학교병원,광역정신건강복지센터,강원도 춘천시 춘천로 306-5,www.gwmh.or.kr,37.8812766,127.7472191,033-732-2111
강원대학교병원,기초정신건강복지센터,강원도 춘천시 효제길 35,www.chmhc.org,37.87132020000001,127.737175,033-732-2111
강원도 삼척의료원,공립,강원도 삼척시 오십천로 418,,37.4403461,129.1638469,033-570-7450
강원도 속초의료원,공립,강원도 속초시 영랑호반길 3,,38.2164977,128.5888636,033-630-6000
강원도 영월의료원,종합병원,강원도 영월군 영월읍 중앙1로 59 ,,37.1865137,128.4651117,033-370-9142
강원도 원주의료원,공립,강원도 원주시 서원대로 387 (개운동),,37.3428416,127.9573276,033-763-9167
강원도 원주의료원,종합병원,강원도 원주시 서원대로 387 (개운동),,37.3428416,127.9573276,033-763-9167
강원도속초의료원,종합병원,강원도 속초시 영랑호반길 3 (영랑동),,38.2164977,128.5888636,033-630-6000
강원도자살예방센터,자살예방센터,강원도 춘천시 춘천로 306-5 유칭프라자 3층,www.gwmh.or.kr,37.8812766,127.7472191,033-591-8821
강원도청 보건정책과,보건소,강원도 춘천시 중앙로 1 (봉의동) 강원도청 보건정책과,,37.8853984,127.7297758,전화번호 없음
강정신건강의학과의원,의원,대구광역시 중구 달구벌대로 2094 8층 (남산동),,35.8653399,128.5927032,053-253-2882
강정신건강의학과의원,의원,"부산광역시 해운대구 양운로 82 801호 (좌동, 화인크리닉)",,35.1704592,129.175563,053-253-2882
강정신건강의학과의원,의원,부산광역시 부산진구 동평로 422 6층 (양정동),,35.1728734,129.0706468,053-253-2882
강지윤정신건강의학과의원,의원,"경기도 수원시 영통구 봉영로 1612 419호호 (영통동, 보보스프라자)",,37.2544765,127.0750345,031-202-7925
강진군 정신건강복지센터,기초정신건강복지센터,전라남도 강진군 강진읍 목리길11,,34.638116,126.7755411,전화번호 없음
강진군보건소,보건소,전라남도 강진군 강진읍 목리길 11 ,,34.638116,126.7755411,061-430-5318
